Health Female LowIncome Nadults PSU Stratum 
3 1 0 1 1 1
4 0 0 2 10 3
NA NA NA NA 4 2
NA NA NA NA 7 2
4 1 1 2 10 3
5 1 1 2 7 2
NA NA NA NA 10 3
4 0 0 4 15 4
NA NA NA NA 7 2
NA NA NA NA 15 4
3 1 0 1 16 4
NA NA NA NA 10 3
4 1 0 1 15 4
NA NA NA NA 11 3
NA NA NA NA 12 4
NA NA NA NA 10 3
NA NA NA NA 6 2
NA NA NA NA 8 3
5 0 0 1 13 4
5 1 0 1 10 3
NA NA NA NA 9 3
4 0 0 3 8 3
NA NA NA NA 1 1
NA NA NA NA 7 2
NA NA NA NA 1 1
NA NA NA NA 5 2
NA NA NA NA 2 1
5 0 1 2 1 1
4 1 0 3 3 1
3 1 0 2 2 1
NA NA NA NA 2 1
4 0 0 2 1 1
NA NA NA NA 6 2
NA NA NA NA 2 1
3 1 0 2 5 2
NA NA NA NA 2 1
NA NA NA NA 1 1
2 1 0 2 6 2
5 0 0 1 14 4
NA NA NA NA 1 1
3 0 0 1 8 3
NA NA NA NA 2 1
2 1 0 1 1 1
NA NA NA NA 4 2
3 1 1 2 3 1
NA NA NA NA 1 1
3 1 0 3 11 3
5 0 0 3 14 4
4 1 0 2 11 3
5 0 1 1 3 1
NA NA NA NA 15 4
NA NA NA NA 16 4
3 0 1 2 8 3
NA NA NA NA 9 3
NA NA NA NA 14 4
NA NA NA NA 3 1
3 0 0 1 8 3
NA NA NA NA 13 4
2 1 0 2 6 2
NA NA NA NA 3 1
NA NA NA NA 13 4
5 0 1 1 10 3
NA NA NA NA 8 3
NA NA NA NA 4 2
4 1 1 2 8 3
NA NA NA NA 13 4
NA NA NA NA 4 2
4 1 0 2 5 2
NA NA NA NA 11 3
NA NA NA NA 15 4
NA NA NA NA 3 1
4 1 0 2 12 4
NA NA NA NA 4 2
NA NA NA NA 9 3
NA NA NA NA 2 1
3 1 0 3 16 4
NA NA NA NA 11 3
NA NA NA NA 11 3
NA NA NA NA 6 2
NA NA NA NA 2 1
NA NA NA NA 4 2
4 0 0 2 15 4
3 1 0 1 11 3
NA NA NA NA 3 1
NA NA NA NA 11 3
NA NA NA NA 10 3
2 1 0 1 1 1
NA NA NA NA 3 1
NA NA NA NA 3 1
NA NA NA NA 15 4
NA NA NA NA 9 3
NA NA NA NA 2 1
4 1 0 1 3 1
2 0 0 2 9 3
NA NA NA NA 8 3
5 1 0 2 15 4
NA NA NA NA 12 4
4 1 0 2 14 4
NA NA NA NA 3 1
NA NA NA NA 14 4
NA NA NA NA 13 4
NA NA NA NA 7 2
5 1 0 4 4 2
3 1 0 4 12 4
NA NA NA NA 13 4
NA NA NA NA 15 4
5 1 1 2 6 2
NA NA NA NA 4 2
5 0 0 2 9 3
4 1 0 2 10 3
NA NA NA NA 9 3
NA NA NA NA 12 4
NA NA NA NA 4 2
4 0 0 2 2 1
NA NA NA NA 10 3
NA NA NA NA 2 1
NA NA NA NA 16 4
NA NA NA NA 6 2
NA NA NA NA 1 1
NA NA NA NA 4 2
NA NA NA NA 1 1
3 1 0 2 14 4
NA NA NA NA 8 3
NA NA NA NA 3 1
NA NA NA NA 2 1
2 1 0 2 2 1
NA NA NA NA 14 4
4 1 0 1 1 1
4 1 0 1 11 3
NA NA NA NA 2 1
4 1 0 2 10 3
4 1 0 3 16 4
3 1 0 2 3 1
3 1 0 1 15 4
NA NA NA NA 1 1
4 0 0 2 2 1
5 0 0 3 15 4
5 1 0 2 2 1
NA NA NA NA 6 2
2 0 0 1 8 3
4 0 0 2 13 4
4 1 1 1 2 1
NA NA NA NA 16 4
NA NA NA NA 8 3
NA NA NA NA 16 4
NA NA NA NA 1 1
NA NA NA NA 15 4
NA NA NA NA 6 2
2 1 0 3 5 2
NA NA NA NA 10 3
1 1 0 4 15 4
NA NA NA NA 5 2
NA NA NA NA 12 4
NA NA NA NA 6 2
NA NA NA NA 1 1
4 0 1 1 6 2
2 1 0 2 13 4
3 1 0 2 10 3
NA NA NA NA 12 4
NA NA NA NA 12 4
NA NA NA NA 7 2
4 1 0 1 1 1
NA NA NA NA 16 4
4 0 1 2 12 4
3 1 1 2 4 2
4 1 1 1 2 1
NA NA NA NA 7 2
4 1 1 2 1 1
NA NA NA NA 11 3
3 1 0 2 2 1
3 1 0 2 3 1
4 1 0 2 5 2
NA NA NA NA 7 2
NA NA NA NA 2 1
3 1 1 1 9 3
NA NA NA NA 5 2
NA NA NA NA 12 4
NA NA NA NA 3 1
NA NA NA NA 5 2
NA NA NA NA 6 2
NA NA NA NA 2 1
4 0 0 2 8 3
4 1 0 3 1 1
NA NA NA NA 1 1
NA NA NA NA 15 4
NA NA NA NA 8 3
NA NA NA NA 12 4
NA NA NA NA 4 2
5 0 0 2 13 4
1 0 0 3 2 1
NA NA NA NA 1 1
NA NA NA NA 11 3
NA NA NA NA 14 4
NA NA NA NA 5 2
4 1 1 2 1 1
5 0 0 1 14 4
NA NA NA NA 5 2
NA NA NA NA 6 2
NA NA NA NA 8 3
NA NA NA NA 1 1
4 1 1 3 1 1
NA NA NA NA 4 2
4 0 1 2 15 4
NA NA NA NA 6 2
NA NA NA NA 7 2
NA NA NA NA 10 3
5 1 0 2 9 3
NA NA NA NA 2 1
4 1 0 2 6 2
NA NA NA NA 9 3
4 1 0 2 16 4
4 0 0 1 8 3
NA NA NA NA 9 3
NA NA NA NA 2 1
NA NA NA NA 2 1
NA NA NA NA 6 2
2 1 0 1 1 1
NA NA NA NA 10 3
NA NA NA NA 15 4
3 0 1 2 11 3
5 1 1 4 12 4
NA NA NA NA 2 1
5 1 0 2 2 1
3 0 0 2 12 4
NA NA NA NA 16 4
NA NA NA NA 6 2
NA NA NA NA 11 3
NA NA NA NA 6 2
NA NA NA NA 4 2
5 0 0 1 9 3
NA NA NA NA 15 4
NA NA NA NA 14 4
NA NA NA NA 1 1
NA NA NA NA 10 3
NA NA NA NA 10 3
NA NA NA NA 1 1
NA NA NA NA 6 2
4 0 1 3 7 2
4 1 0 4 1 1
NA NA NA NA 1 1
5 1 0 4 11 3
NA NA NA NA 16 4
3 1 0 1 5 2
NA NA NA NA 9 3
NA NA NA NA 14 4
5 0 0 3 13 4
5 1 1 1 13 4
NA NA NA NA 3 1
NA NA NA NA 2 1
NA NA NA NA 7 2
NA NA NA NA 3 1
3 0 0 3 4 2
NA NA NA NA 13 4
NA NA NA NA 7 2
NA NA NA NA 2 1
NA NA NA NA 4 2
NA NA NA NA 10 3
NA NA NA NA 11 3
4 1 0 1 3 1
NA NA NA NA 5 2
NA NA NA NA 3 1
NA NA NA NA 1 1
NA NA NA NA 3 1
NA NA NA NA 2 1
NA NA NA NA 6 2
4 1 0 2 7 2
NA NA NA NA 1 1
NA NA NA NA 10 3
4 0 1 3 8 3
5 1 0 2 12 4
5 0 0 4 4 2
NA NA NA NA 6 2
NA NA NA NA 11 3
4 1 0 3 8 3
NA NA NA NA 3 1
NA NA NA NA 11 3
NA NA NA NA 6 2
5 1 0 1 2 1
5 1 0 1 2 1
4 0 0 1 8 3
4 0 0 2 11 3
NA NA NA NA 1 1
NA NA NA NA 15 4
NA NA NA NA 8 3
4 1 1 2 13 4
4 1 0 2 13 4
NA NA NA NA 10 3
NA NA NA NA 3 1
NA NA NA NA 8 3
3 1 0 3 8 3
NA NA NA NA 5 2
NA NA NA NA 16 4
NA NA NA NA 4 2
NA NA NA NA 5 2
4 0 0 2 13 4
NA NA NA NA 10 3
NA NA NA NA 12 4
NA NA NA NA 12 4
NA NA NA NA 5 2
4 1 0 1 16 4
4 1 1 2 11 3
NA NA NA NA 5 2
3 1 0 2 1 1
NA NA NA NA 15 4
2 0 0 2 15 4
5 1 0 1 8 3
4 1 0 2 11 3
NA NA NA NA 9 3
4 1 0 1 6 2
NA NA NA NA 16 4
3 1 0 2 4 2
NA NA NA NA 2 1
5 1 0 2 15 4
NA NA NA NA 9 3
5 1 1 1 15 4
NA NA NA NA 3 1
NA NA NA NA 7 2
NA NA NA NA 4 2
4 1 1 2 1 1
NA NA NA NA 13 4
4 1 0 3 8 3
NA NA NA NA 3 1
4 1 0 1 13 4
NA NA NA NA 3 1
NA NA NA NA 2 1
5 0 0 1 15 4
4 1 0 2 9 3
NA NA NA NA 10 3
NA NA NA NA 16 4
NA NA NA NA 16 4
NA NA NA NA 10 3
5 0 0 1 12 4
3 0 0 2 14 4
5 1 1 2 11 3
NA NA NA NA 3 1
1 1 0 2 1 1
NA NA NA NA 6 2
5 0 1 2 7 2
3 1 0 2 5 2
NA NA NA NA 6 2
5 0 1 2 6 2
NA NA NA NA 12 4
NA NA NA NA 12 4
NA NA NA NA 13 4
4 1 1 1 4 2
5 0 0 2 8 3
NA NA NA NA 6 2
NA NA NA NA 1 1
NA NA NA NA 8 3
NA NA NA NA 16 4
3 1 1 2 6 2
5 0 1 2 3 1
5 1 0 4 8 3
NA NA NA NA 2 1
5 1 1 2 4 2
3 0 0 1 15 4
NA NA NA NA 16 4
4 1 0 2 1 1
NA NA NA NA 15 4
3 0 1 2 12 4
5 0 0 1 9 3
4 1 0 3 1 1
4 1 1 3 10 3
NA NA NA NA 6 2
NA NA NA NA 10 3
NA NA NA NA 15 4
4 0 0 3 1 1
3 1 0 2 12 4
5 1 0 2 14 4
NA NA NA NA 3 1
3 0 0 2 8 3
NA NA NA NA 8 3
NA NA NA NA 8 3
NA NA NA NA 6 2
NA NA NA NA 8 3
3 1 0 1 3 1
NA NA NA NA 16 4
NA NA NA NA 2 1
NA NA NA NA 10 3
NA NA NA NA 14 4
NA NA NA NA 16 4
4 0 0 2 12 4
NA NA NA NA 2 1
5 1 0 3 9 3
4 0 1 3 10 3
5 0 1 2 6 2
3 1 0 1 3 1
4 0 0 2 16 4
NA NA NA NA 2 1
5 1 1 2 5 2
2 1 0 2 13 4
5 0 0 2 15 4
3 1 0 2 3 1
4 1 0 2 16 4
NA NA NA NA 1 1
NA NA NA NA 11 3
3 1 1 3 8 3
5 1 0 1 2 1
4 1 0 2 5 2
NA NA NA NA 16 4
NA NA NA NA 10 3
3 1 0 1 1 1
4 1 0 2 4 2
NA NA NA NA 12 4
5 1 1 1 4 2
NA NA NA NA 13 4
NA NA NA NA 11 3
NA NA NA NA 10 3
5 1 1 2 9 3
NA NA NA NA 5 2
3 0 0 2 3 1
4 1 1 2 9 3
NA NA NA NA 3 1
3 1 0 1 1 1
NA NA NA NA 15 4
NA NA NA NA 15 4
NA NA NA NA 10 3
NA NA NA NA 12 4
NA NA NA NA 8 3
NA NA NA NA 9 3
NA NA NA NA 9 3
NA NA NA NA 9 3
NA NA NA NA 13 4
5 1 0 1 4 2
5 0 1 2 2 1
NA NA NA NA 1 1
NA NA NA NA 10 3
5 1 1 2 2 1
4 0 0 3 1 1
NA NA NA NA 7 2
2 1 0 2 10 3
3 0 0 2 16 4
NA NA NA NA 11 3
NA NA NA NA 7 2
